#OTU ID	YD17L1	YD17L2	YD17L3	YD17L4	YD24L1	YD24L2	YD24L3	YD24L4	YD32L1	YD32L2	YD32L3	YD32L4	YD3L1	YD3L2	YD3L3	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD45L1	YD45L2	YD45L3	YD45L4
Zotu37	0	0	418	207	0	0	359	803	0	0	5	258	0	0	0	155	0	0	0	72	0	29	1	1576
Zotu185	0	0	321	0	16	33	25	9	2	0	3	1	0	18	0	13	0	2	7	0	0	10	18	0
Zotu1658	0	0	4	0	0	0	0	0	2	4	0	0	4	0	0	0	0	0	5	0	1	2	0	0
Zotu300	0	0	146	0	0	0	0	28	1	0	3	19	0	1	0	15	1	1	0	9	0	5	1	2
Zotu597	0	0	8	13	0	0	0	18	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	36
Zotu648	0	0	37	2	0	7	0	1	0	6	3	1	0	0	0	3	0	0	1	3	0	6	1	7
Zotu742	0	0	26	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu721	0	0	50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu847	0	0	30	0	0	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Zotu1737	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu90	0	0	337	2	0	587	33	0	1	3	5	241	43	15	0	1	16	2	95	78	2	9	1	1
Zotu225	0	0	334	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
Zotu1322	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5035	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu1622	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu4477	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1180	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0
Zotu1505	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1103	0	0	19	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu1913	0	0	2	0	0	0	1	1	5	0	1	3	0	0	0	0	0	0	0	0	0	5	1	0
Zotu468	0	0	1	0	0	0	4	6	4	0	0	0	0	0	0	0	0	0	0	60	0	0	2	52
Zotu522	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1716	0	0	5	0	0	3	3	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	0
Zotu1665	0	0	3	0	0	0	3	5	7	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Zotu1393	0	0	8	0	3	3	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0
Zotu423	0	0	117	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1630	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu427	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu520	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Zotu901	0	0	9	0	0	0	0	0	0	15	0	3	1	1	0	0	0	0	2	0	0	0	0	11
